Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Dress_Type,Price_Category,Size_Count,Rating_Category,Dress_Type_Encoded
Floral Printed Tiered Ethnic Dress,Janasya,925,0.0,18.0,925.0,Midi,0,0,0,0,"XL, XXL, 3XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33477042/buy,Traditional,Traditional,Medium,3,Low,3
Women Green & Maroon Floral Printed Tiered Fit and Flare Dress,Rain & Rainbow,1107,0.0,948.0,1107.0,Midi,V-Neck,0,0,0,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-women-green--maroon-floral-printed-tiered-fit-and-flare-dress/11357104/buy,Casual,Casual,High,5,Low,0
Floral Printed Tiered Ethnic A-Line Dresses,Rain & Rainbow,930,0.0,6.0,930.0,Above Knee,Mandarin Collar,0,0,0,"XS, S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-tiered-ethnic-a-line-dresses/37335398/buy,Traditional,Traditional,Medium,4,Low,3
Floral Printed Fit & Flare Maternity Ethnic Dress,Tulsiram,549,0.0,37.0,549.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/tulsiram/tulsiram-floral-printed-fit--flare-maternity-ethnic-dress/34856827/buy,Traditional,Traditional,Medium,4,Low,3
Floral Printed Round Neck Fit & Flare Midi Maternity Ethnic Dress,Pristyle,482,0.0,84.0,482.0,Midi,Round Neck,0,0,0,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/pristyle/pristyle-floral-printed-round-neck-fit--flare-midi-maternity-ethnic-dress/32267189/buy,Traditional,Traditional,Low,4,Low,3
Floral Printed Ethnic Dress,Sangria,719,0.0,14.0,719.0,Midi,V-Neck,0,0,A-Line,"XS, S, M, L, XL, XXL",4,No,Polyester,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-ethnic-dress/31624983/buy,Traditional,Traditional,Medium,6,Low,3
Women Floral Printed Ethnic Dress,Bachuu,426,0.0,35.0,426.0,Maxi,Round Neck,0,Regular Sleeves,A-Line,"S, M",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/bachuu/bachuu-women-floral-printed-ethnic-dress/21503512/buy,Traditional,Traditional,Low,2,Low,3
Floral Printed Ruffles Fit & Flare Maxi Ethnic Dress,KALINI,1300,0.0,17.0,1300.0,Maxi,V-Neck,0,Regular Sleeves,Maxi,"XS, S, M, L, XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-printed-ruffles-fit--flare-maxi-ethnic-dress/25941226/buy,Traditional,Traditional,High,11,Low,3
Pure Cotton Floral Printed V-Neck Tie-Ups Mirror Work A-Line Sanganeri Ethnic Dress,Taavi,1536,0.0,26.0,1536.0,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS, S, M, L, XL",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-pure-cotton-floral-printed-v-neck-tie-ups-mirror-work-a-line-sanganeri-ethnic-dress/36500138/buy,Traditional,Traditional,High,5,Low,3
Floral Embroidered Maxi Pure Cotton Ethnic Dress,Divena,1399,0.0,50.0,1399.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS
Rs. 1399, S
Rs. 1399, M
Rs. 1399, L
Rs. 1399, XL
Rs. 1399, XXL
Rs. 1399, 3XL
Rs. 1528, 5XL
Rs. 1528, 6XL
Rs. 1528",4,No,Cotton,https://www.myntra.com/ethnic-dresses/divena/divena-floral-embroidered-maxi-pure-cotton-ethnic-dress/24825720/buy,Party Wear,Traditional,High,9,Low,3
