Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Rating_Numeric,Reviews_Numeric,Sizes_Count,Discount_Percentage,Price_Per_Size,Rating_Score,Color_Category
Floral Printed Maxi Ethnic Dress,AKS Couture,1884,4.6 | 25 Ratings,25 Ratings,1884,Maxi,Shoulder Straps,,,Maxi,XXL,4,No,Cotton,https://www.myntra.com/ethnic-dresses/aks+couture/aks-couture-floral-printed-maxi-ethnic-dress/24487128/buy,Traditional,4.6,25,1,0,1884,4.6,High (4)
Dabu Floral Printed Cotton Linen Midi Shirt Ethnic Dresses,Taavi,1084,4.7 | 30 Ratings,30 Ratings,1084,Midi,Shirt Collar,,Regular Sleeves,,"XS, S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-dabu-floral-printed-cotton-linen-midi-shirt-ethnic-dresses/37948499/buy,Traditional,4.7,30,5,0,216.8,4.7,High (4)
Floral Printed Floral Ethnic Dress,Stylum,599,4.1 | 12 Ratings,12 Ratings,599,Midi,Mandarin Collar,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S, M, L, XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/stylum/stylum-floral-printed-floral-ethnic-dress/21645000/buy,Traditional,4.1,12,4,0,149.75,4.1,High (4)
Floral Printed Tiered Ethnic Dress,Janasya,925,4.6 | 18 Ratings,18 Ratings,925,Midi,,,,,"XL, XXL, 3XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33477042/buy,Traditional,4.6,18,3,0,308.3333333,4.6,High (4)
Women Green & Maroon Floral Printed Tiered Fit and Flare Dress,Rain & Rainbow,1107,4.5 | 948 Ratings,948 Ratings,1107,Midi,V-Neck,,,,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-women-green--maroon-floral-printed-tiered-fit-and-flare-dress/11357104/buy,Casual,4.5,948,5,0,221.4,4.5,Medium (3)
Floral Printed Tiered Ethnic A-Line Dresses,Rain & Rainbow,930,3.5 | 6 Ratings,6 Ratings,930,Above Knee,Mandarin Collar,,,,"XS, S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-tiered-ethnic-a-line-dresses/37335398/buy,Traditional,3.5,6,4,0,232.5,3.5,High (4)
Floral Printed Fit & Flare Maternity Ethnic Dress,Tulsiram,549,4.4 | 37 Ratings,37 Ratings,549,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/tulsiram/tulsiram-floral-printed-fit--flare-maternity-ethnic-dress/34856827/buy,Traditional,4.4,37,4,0,137.25,4.4,High (4)
Floral Printed Round Neck Fit & Flare Midi Maternity Ethnic Dress,Pristyle,482,4.1 | 84 Ratings,84 Ratings,482,Midi,Round Neck,,,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/pristyle/pristyle-floral-printed-round-neck-fit--flare-midi-maternity-ethnic-dress/32267189/buy,Traditional,4.1,84,4,0,120.5,4.1,High (4)
Floral Printed Ethnic Dress,Sangria,719,3.1 | 14 Ratings,14 Ratings,719,Midi,V-Neck,,,A-Line,"XS, S, M, L, XL, XXL",4,No,Polyester,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-ethnic-dress/31624983/buy,Traditional,3.1,14,6,0,119.8333333,3.1,High (4)
Women Floral Printed Ethnic Dress,Bachuu,426,3.8 | 35 Ratings,35 Ratings,426,Maxi,Round Neck,,Regular Sleeves,A-Line,"S, M",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/bachuu/bachuu-women-floral-printed-ethnic-dress/21503512/buy,Traditional,3.8,35,2,0,213,3.8,High (4)
Floral Printed Ruffles Fit & Flare Maxi Ethnic Dress,KALINI,1300,4.8 | 17 Ratings,17 Ratings,1300,Maxi,V-Neck,,Regular Sleeves,Maxi,"XS, S, M, L, XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-printed-ruffles-fit--flare-maxi-ethnic-dress/25941226/buy,Traditional,4.8,17,11,0,118.1818182,4.8,High (4)
