Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link
Floral Printed Maxi Ethnic Dress,Biba,₹1039,4.1 | 62 Ratings,62 Ratings,₹1039 MRP ₹2599(60% OFF),Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,Yes,Polyester,https://www.myntra.com/ethnic-dresses/biba/biba-floral-printed-maxi-ethnic-dress/25073006/buy
Floral Printed Cotton Anarkali Maternity Dress,MURLI KURTI,₹495,4 | 1.4k Ratings,1.4k Ratings,₹495 MRP ₹2949(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-cotton-anarkali-maternity-dress/30742681/buy
Floral Ethnic A-Line Maxi Ethnic Dress,Gerua By Libas,₹439,4.2 | 226 Ratings,226 Ratings,₹439 MRP ₹2699(84% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,XS,3,No,Silk,https://www.myntra.com/ethnic-dresses/gerua+by+libas/gerua-by-libas-floral-ethnic-a-line-maxi-ethnic-dress/21325200/buy
FOXDX Women Floral Embroidered Anarkali Ethnic Dress,FoxDX,₹891,4.4 | 287 Ratings,287 Ratings,₹891 MRP ₹4999(82% OFF),Maxi,Sweetheart Neck,,,Maxi,M,4,No,Georgette,https://www.myntra.com/ethnic-dresses/foxdx/foxdx-women-floral-embroidered-anarkali-ethnic-dress/38451535/buy
Floral Embroidered A-Line Maxi Ethnic Dresses,Inddus,₹1606,4.2 | 194 Ratings,194 Ratings,₹1606 MRP ₹4699(66% OFF),Maxi,Round Neck,Short Sleeves,,A-Line,"XS, S, M, L, XL, XXL",3,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-floral-embroidered--a-line-maxi-ethnic-dresses/30659051/buy
Floral Printed Pure Cotton Fit & Flare Midi Dress,Rain & Rainbow,₹1147,4.4 | 279 Ratings,279 Ratings,₹1147 MRP ₹2995(62% OFF),Midi,Mandarin Collar,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-pure-cotton-fit--flare-midi-dress/29918666/buy
Floral Printed A-Line Maxi Ethnic Dress With Belt,anayna,₹1497,4.5 | 3.7k Ratings,3.7k Ratings,₹1497 MRP ₹4898(69% OFF),Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-a-line-maxi-ethnic-dress-with-belt/30745318/buy
Women Floral Printed Empire Ethnic Dress,Ahalyaa,₹1214,3.9 | 769 Ratings,769 Ratings,₹1214 MRP ₹5300(77% OFF),Midi,V-Neck,,,,"XS, S, M, L, XL, XXL",3,No,Crepe,https://www.myntra.com/ethnic-dresses/ahalyaa/ahalyaa-women-floral-printed-empire-ethnic-dress/23814298/buy
Maroon Gold Floral Maxi Ethnic Dress Cut-Out with Tassels,Ethnovog,₹2513,,,₹2513 MRP ₹6168(59% OFF),Maxi,Boat Neck,Three-Quarter Sleeves,,Maxi,"XS, M, XL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-maroon--gold-floral-maxi-ethnic-dress-cut-out-with-tassels/19791600/buy
Floral Printed Round Neck Zipless Maternity Ethnic Dresses,RITIJYA,₹681,3.4 | 19 Ratings,19 Ratings,₹681 MRP ₹2999(77% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL, XXL, 3XL, 4XL",4,No,"Viscose Rayon, Viscose Rayon, Viscose Rayon",https://www.myntra.com/ethnic-dresses/ritijya/ritijya-floral-printed-round-neck-zipless-maternity-ethnic-dresses/32572538/buy
